iter	Passed	Remaining
919	1556	135
920	1557	133
921	1558	131
922	1558	130
923	1559	128
924	1565	126
925	1565	125
926	1566	123
927	1568	121
928	1569	119
929	1570	118
930	1570	116
931	1571	114
932	1572	112
933	1574	111
934	1575	109
935	1576	107
936	1582	106
937	1583	104
938	1584	102
939	1585	101
940	1592	99
941	1595	98
942	1596	96
943	1596	94
944	1597	92
945	1599	91
946	1601	89
947	1601	87
948	1607	86
949	1609	84
950	1609	82
951	1610	81
952	1613	79
953	1614	77
954	1615	76
955	1616	74
956	1619	72
957	1624	71
958	1627	69
959	1633	68
960	1634	66
961	1634	64
962	1635	62
963	1636	61
964	1638	59
965	1638	57
966	1639	55
967	1639	54
968	1640	52
969	1641	50
970	1641	49
971	1643	47
972	1644	45
973	1644	43
974	1645	42
975	1646	40
976	1646	38
977	1647	37
978	1648	35
979	1649	33
980	1650	31
981	1652	30
982	1652	28
983	1653	26
984	1654	25
985	1655	23
986	1655	21
987	1656	20
988	1657	18
989	1657	16
990	1658	15
991	1659	13
992	1659	11
993	1660	10
994	1661	8
995	1662	6
996	1663	5
997	1664	3
998	1665	1
999	1665	0
